Sample	250	252	254	256	258	260	262	264	266	268	270	272	274	276	278	280	282	284	286	288	290	292	294	296	298	300
DR1014-E_1_val_1	4.0	7.0	2.0	7.0	8.0	3.0	8.0	27.0	5.0	10.0	17.0	25.0	15.0	67.0	6.0	26.0	70.0	79.0	71.0	164.0	403.0	224.0	284.0	1536.0	3400.0	70594.0
DR1014-E_2_val_2	118.0	84.0	255.0	182.0	28.0	148.0	84.0	1047.0	170.0	490.0	434.0	262.0	771.0	438.0	558.0	939.0	77.0	521.0	78.0	570.0	727.0	763.0	341.0	3467.0	10819.0	53691.0
DR1014-SAH_1_val_1	19.0	17.0	14.0	34.0	55.0	27.0	48.0	49.0	37.0	50.0	52.0	78.0	94.0	173.0	62.0	94.0	234.0	234.0	253.0	551.0	948.0	803.0	955.0	5156.0	8472.0	87291.0
DR1014-SAH_2_val_2	277.0	268.0	598.0	498.0	135.0	231.0	173.0	1643.0	810.0	951.0	663.0	495.0	1127.0	885.0	1014.0	1473.0	334.0	990.0	111.0	1023.0	1198.0	1322.0	822.0	4575.0	13152.0	71032.0
DR1015-SAH_1_val_1	8.0	13.0	8.0	11.0	25.0	13.0	24.0	30.0	15.0	25.0	36.0	51.0	33.0	117.0	28.0	49.0	117.0	168.0	157.0	324.0	589.0	494.0	622.0	3566.0	6759.0	67419.0
DR1015-SAH_2_val_2	235.0	226.0	519.0	406.0	127.0	249.0	141.0	1385.0	627.0	689.0	546.0	375.0	1039.0	754.0	884.0	1288.0	231.0	840.0	71.0	935.0	1081.0	1051.0	666.0	3680.0	10660.0	51996.0
DR1018-E_1_val_1	3.0	4.0	3.0	6.0	8.0	4.0	8.0	4.0	6.0	6.0	9.0	17.0	15.0	25.0	7.0	11.0	47.0	27.0	58.0	95.0	195.0	159.0	164.0	852.0	2327.0	27801.0
DR1018-E_2_val_2	83.0	61.0	164.0	152.0	54.0	66.0	61.0	544.0	188.0	224.0	184.0	131.0	300.0	231.0	297.0	456.0	58.0	264.0	32.0	311.0	322.0	328.0	217.0	1497.0	4470.0	21166.0
DR1018-SAH_1_val_1	18.0	23.0	7.0	34.0	40.0	18.0	46.0	41.0	21.0	41.0	46.0	59.0	60.0	150.0	54.0	80.0	176.0	211.0	273.0	485.0	804.0	706.0	805.0	4609.0	9292.0	81694.0
DR1018-SAH_2_val_2	307.0	265.0	624.0	538.0	171.0	263.0	168.0	1602.0	843.0	890.0	703.0	461.0	1200.0	955.0	1139.0	1583.0	321.0	989.0	84.0	1019.0	1275.0	1430.0	817.0	4591.0	12845.0	64710.0
DR1019-E_1_val_1	7.0	9.0	11.0	20.0	136.0	23.0	24.0	28.0	13.0	42.0	34.0	44.0	87.0	86.0	38.0	37.0	125.0	132.0	209.0	257.0	418.0	476.0	540.0	3100.0	4968.0	56442.0
DR1019-E_2_val_2	205.0	188.0	392.0	379.0	230.0	234.0	181.0	960.0	618.0	570.0	384.0	328.0	773.0	525.0	678.0	914.0	283.0	587.0	163.0	699.0	763.0	958.0	620.0	3340.0	9554.0	42780.0
DR1019-SAH_1_val_1	7.0	10.0	8.0	24.0	25.0	21.0	41.0	38.0	29.0	39.0	34.0	60.0	64.0	111.0	42.0	70.0	153.0	156.0	194.0	450.0	705.0	574.0	725.0	3702.0	6684.0	73886.0
DR1019-SAH_2_val_2	220.0	227.0	497.0	430.0	137.0	158.0	140.0	1395.0	797.0	776.0	603.0	399.0	948.0	703.0	828.0	1282.0	232.0	833.0	87.0	816.0	1070.0	1055.0	676.0	3553.0	10622.0	59368.0
DR1020-SAH_1_val_1	13.0	18.0	9.0	27.0	20.0	30.0	29.0	28.0	19.0	32.0	31.0	60.0	48.0	116.0	41.0	81.0	157.0	163.0	240.0	415.0	628.0	633.0	785.0	3944.0	6277.0	72183.0
DR1020-SAH_2_val_2	207.0	221.0	493.0	412.0	150.0	188.0	135.0	1400.0	871.0	824.0	672.0	406.0	955.0	752.0	923.0	1363.0	294.0	842.0	86.0	868.0	990.0	1161.0	674.0	3585.0	10039.0	57516.0
DR1021-SAH_1_val_1	8.0	19.0	11.0	25.0	27.0	18.0	30.0	28.0	34.0	34.0	52.0	66.0	61.0	131.0	42.0	81.0	165.0	193.0	262.0	484.0	817.0	688.0	924.0	4896.0	7343.0	82931.0
DR1021-SAH_2_val_2	232.0	269.0	543.0	510.0	150.0	210.0	165.0	1486.0	931.0	1001.0	663.0	486.0	1142.0	940.0	1087.0	1498.0	349.0	991.0	124.0	1013.0	1245.0	1359.0	826.0	4194.0	12131.0	65825.0
DR1025-E_1_val_1	13.0	14.0	8.0	19.0	38.0	11.0	28.0	24.0	16.0	22.0	31.0	36.0	62.0	82.0	31.0	59.0	99.0	110.0	147.0	286.0	425.0	412.0	463.0	2206.0	6331.0	55613.0
DR1025-E_2_val_2	216.0	224.0	433.0	378.0	194.0	232.0	176.0	1018.0	437.0	502.0	426.0	334.0	693.0	466.0	625.0	973.0	255.0	596.0	179.0	635.0	763.0	843.0	640.0	3283.0	9245.0	42820.0
DR1025-SAH_1_val_1	13.0	18.0	15.0	34.0	27.0	28.0	38.0	40.0	32.0	47.0	42.0	60.0	74.0	142.0	46.0	78.0	169.0	204.0	266.0	519.0	804.0	689.0	868.0	4359.0	8621.0	90108.0
DR1025-SAH_2_val_2	269.0	292.0	607.0	502.0	163.0	235.0	183.0	1723.0	906.0	992.0	686.0	484.0	1209.0	976.0	1172.0	1564.0	344.0	1057.0	104.0	1070.0	1318.0	1372.0	848.0	4622.0	12759.0	71884.0
DR1027-E_1_val_1	16.0	25.0	8.0	27.0	206.0	18.0	42.0	36.0	13.0	43.0	34.0	42.0	34.0	107.0	22.0	49.0	131.0	133.0	109.0	313.0	448.0	460.0	522.0	4666.0	3757.0	65865.0
DR1027-E_2_val_2	220.0	181.0	446.0	370.0	308.0	217.0	207.0	978.0	422.0	588.0	459.0	381.0	923.0	593.0	669.0	1043.0	218.0	646.0	113.0	746.0	794.0	1239.0	599.0	3676.0	11478.0	49612.0
DR1027-H_1_val_1	23.0	28.0	10.0	48.0	126.0	30.0	59.0	55.0	40.0	56.0	83.0	84.0	88.0	188.0	81.0	114.0	204.0	263.0	360.0	580.0	946.0	897.0	1024.0	4506.0	11398.0	102475.0
DR1027-H_2_val_2	262.0	260.0	557.0	481.0	263.0	263.0	210.0	1716.0	787.0	916.0	705.0	486.0	1165.0	912.0	1062.0	1631.0	345.0	1018.0	136.0	1091.0	1344.0	1519.0	930.0	4932.0	15068.0	85707.0
DR1027-SAH_1_val_1	11.0	17.0	7.0	30.0	27.0	14.0	31.0	26.0	22.0	45.0	36.0	51.0	47.0	114.0	40.0	60.0	144.0	202.0	199.0	421.0	629.0	579.0	707.0	3362.0	7521.0	75472.0
DR1027-SAH_2_val_2	228.0	235.0	471.0	429.0	124.0	182.0	142.0	1327.0	673.0	713.0	500.0	343.0	962.0	783.0	848.0	1301.0	266.0	838.0	91.0	848.0	1018.0	1202.0	712.0	3941.0	11227.0	60410.0
DR1028-SAH_1_val_1	15.0	26.0	16.0	47.0	30.0	31.0	41.0	31.0	33.0	42.0	52.0	65.0	76.0	163.0	51.0	92.0	206.0	231.0	232.0	488.0	798.0	760.0	869.0	3766.0	7148.0	65811.0
DR1028-SAH_2_val_2	165.0	211.0	418.0	386.0	145.0	186.0	132.0	1173.0	659.0	749.0	530.0	348.0	815.0	636.0	804.0	1207.0	293.0	782.0	114.0	802.0	963.0	1080.0	730.0	3502.0	9541.0	54749.0
