DR1018-SAH_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.75	0.75	1.75	3.5	3.75	6.5	15.75	36.5	89.25	219.5	302.75	325.5	407.5	917.0	2157.0	3683.5	4857.25	4894.0	5085.0	4665.5	3317.0	1871.75	879.0	436.25	270.0	180.25	137.0	123.5	94.75	61.25	40.75	23.5	18.5	12.0	6.25	5.0	3.0	1.5	2.0	1.5	0.75	0.5	1.0	0.75	0.25	0.25	0.25	0.0	0.0	0.5	0.25	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
DR1019-E_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.5	1.75	2.0	3.25	9.75	23.75	26.0	10.0	34.75	60.0	130.5	173.25	121.0	204.0	366.75	630.5	885.5	762.75	1675.25	2915.75	4285.25	2770.5	1995.75	2141.25	1686.75	1236.75	858.5	439.5	311.5	158.75	102.0	84.5	42.5	20.25	4.5	2.0	2.5	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DR1019-E_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.0	1.0	1.75	3.25	9.0	19.25	22.75	32.0	54.75	88.25	157.25	225.5	289.75	321.25	489.0	546.5	418.25	392.25	711.5	1623.0	3981.0	4038.5	3103.75	2376.0	1754.5	1194.5	701.25	384.25	271.25	199.25	134.25	98.5	95.25	73.25	53.75	30.5	20.75	12.75	9.0	4.75	5.5	3.5	2.25	1.0	2.25	1.0	1.5	0.5	0.5	0.75	0.75	0.75	0.5	0.5	0.75	0.25	0.5	0.5	0.5	0.0	0.0	0.5	0.5	0.5	0.0	0.0
DR1019-SAH_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	1.75	1.0	0.75	3.25	3.25	4.5	2.75	1.75	4.0	16.25	51.5	139.0	267.5	436.25	492.75	858.25	1604.25	2375.25	3716.25	4257.75	4673.25	4134.75	3339.0	2264.0	1062.5	538.5	310.25	160.25	108.25	37.5	12.5	6.25	2.5	2.5	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DR1019-SAH_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75	1.5	1.0	1.5	2.75	3.75	5.5	5.0	10.0	30.25	83.25	224.5	286.5	291.75	330.5	711.5	1602.0	2934.5	4313.5	4629.5	4714.0	3866.25	2681.25	1604.25	815.5	515.75	383.75	240.75	178.25	135.5	104.25	79.75	50.0	31.75	27.0	16.5	11.5	6.5	6.0	3.0	2.0	1.75	2.5	1.5	1.0	1.25	0.5	0.5	0.0	0.75	0.25	0.5	0.5	0.0	0.25	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0
DR1020-SAH_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	1.0	0.25	0.5	1.0	1.0	0.75	2.0	2.0	2.5	1.5	2.0	2.5	3.25	10.25	23.75	109.25	206.5	389.25	389.75	627.25	1463.75	2194.5	3365.25	4131.5	4659.25	4345.75	3604.0	2274.0	1254.75	657.0	265.5	147.25	99.5	45.0	11.5	8.25	4.0	5.5	1.25	0.5	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DR1020-SAH_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	1.75	2.0	2.0	1.75	1.5	1.75	3.75	3.25	13.0	35.0	50.25	118.25	166.5	197.75	250.5	580.75	1425.25	2757.75	4265.5	4719.25	4495.25	4004.25	2911.75	1737.75	913.5	506.25	318.25	204.0	162.75	123.5	93.75	76.25	50.75	32.25	26.5	14.75	10.25	8.25	4.75	4.5	1.75	1.5	2.25	1.25	2.25	0.5	1.0	0.75	0.5	0.25	0.75	0.25	0.0	0.25	0.5	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0
DR1021-SAH_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	1.0	1.5	2.0	2.0	2.25	3.75	3.75	2.0	2.5	3.75	5.5	5.5	12.25	29.75	116.0	233.75	430.5	399.75	658.75	1802.0	2938.25	3736.25	4486.75	4985.75	4896.5	4183.0	2842.25	1651.0	794.0	330.75	156.75	116.25	64.75	21.5	9.5	1.75	2.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DR1021-SAH_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.25	0.0	0.75	2.0	3.0	3.0	4.75	6.0	6.75	14.0	35.5	65.25	133.0	171.0	219.5	272.25	655.25	1670.5	3273.25	5031.0	5192.0	4759.75	4591.0	3701.25	2197.25	1103.0	573.75	339.75	225.0	153.75	136.75	115.75	74.25	48.5	30.25	18.75	13.0	8.0	6.0	4.75	4.0	2.5	2.0	1.75	0.75	0.25	1.0	0.25	0.75	0.25	0.25	0.25	0.25	0.0	0.5	0.0	0.5	0.0	0.25	0.0	0.0	0.0	0.0	0.0
DR1025-E_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.75	0.25	0.5	1.75	3.25	1.25	3.25	8.5	19.5	22.0	22.75	56.5	51.75	26.5	45.75	113.75	182.0	295.5	465.5	805.0	1055.5	1224.75	2168.25	3163.75	2380.0	2639.25	2735.0	2180.75	1917.5	1071.75	368.25	217.5	211.5	129.75	56.75	20.75	6.75	11.5	7.5	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
