sample-id	sample	Source	Date	Year	Location	Week	Total reads	Colect_number
E-4	E-4	Stipe	ago-10	2023	Naolinco	6	474632	DRamos
E-5	E-5	Stipe	ago-10	2023	Naolinco	6	276584	DRamos
E-6	E-6	Stipe	ago-28	2023	Naolinco	7	289870	DRamos
E-7	E-7	Stipe	ago-28	2023	Naolinco	7	297668	DRamos
E-8	E-8	Stipe	ago-28	2023	Naolinco	7	288130	DRamos
E-9	E-9	Stipe	ago-28	2023	Naolinco	7	392038	DRamos
E-10	E-10	Stipe	ago-28	2023	Naolinco	7	474660	DRamos
H-1	H-1	Rhizhomorph	ago-08	2023	Naolinco	6	459838	DRamos
H-2	H-2	Rhizhomorph	ago-08	2023	Naolinco	6	502928	DRamos
H-3	H-3	Rhizhomorph	ago-08	2023	Naolinco	6	247372	DRamos
H-4	H-4	Rhizhomorph	ago-10	2023	Naolinco	6	330292	DRamos
H-5	H-5	Rhizhomorph	ago-10	2023	Naolinco	6	315106	DRamos
H-6	H-6	Rhizhomorph	ago-28	2023	Naolinco	7	367938	DRamos
H-7	H-7	Rhizhomorph	ago-28	2023	Naolinco	7	393038	DRamos
H-8	H-8	Rhizhomorph	ago-28	2023	Naolinco	7	377596	DRamos
H-9	H-9	Rhizhomorph	ago-28	2023	Naolinco	7	377710	DRamos
H-10	H-10	Rhizhomorph	ago-28	2023	Naolinco	7	494312	DRamos
SAH-1	SAH-1	Soil associated	ago-08	2023	Naolinco	6	386342	DRamos
SAH-2	SAH-2	Soil associated	ago-08	2023	Naolinco	6	515502	DRamos
SAH-3	SAH-3	Soil associated	ago-08	2023	Naolinco	6	343144	DRamos
SAH-4	SAH-4	Soil associated	ago-10	2023	Naolinco	6	421026	DRamos
SAH-5	SAH-5	Soil associated	ago-10	2023	Naolinco	6	431592	DRamos
SAH-6	SAH-6	Soil associated	ago-28	2023	Naolinco	7	385060	DRamos
SAH-7	SAH-7	Soil associated	ago-28	2023	Naolinco	7	367248	DRamos
SAH-8	SAH-8	Soil associated	ago-28	2023	Naolinco	7	483236	DRamos
SAH-9	SAH-9	Soil associated	ago-28	2023	Naolinco	7	364570	DRamos
SAH-10	SAH-10	Soil associated	ago-28	2023	Naolinco	7	396842	DRamos
