#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_3534	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	2
ASV_3535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
ASV_3536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
ASV_3537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0
ASV_3538	33	0	7	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	4	11	0	0	0	0	0	2	0	0	2
ASV_3539	10	0	0	0	0	0	0	0	6	2	4	0	4	2	2	0	11	0	7	0	3	0	7	7	3	0	3	0	0	3
ASV_3540	6	0	0	12	0	0	0	0	0	0	5	0	11	12	0	0	3	0	0	0	0	0	6	6	4	3	6	0	0	0
ASV_3541	5	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	13	0	2	0	7	0	0	0	8	0	21	5
ASV_3542	3	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	14	3	0	0	4	7	12	10	7	0
ASV_3543	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	7	0	9	0	12	0	8	26	0
ASV_3544	2	0	0	0	0	2	0	0	0	0	0	0	0	13	2	6	0	0	0	0	0	6	0	11	9	13	2	4	2	0
ASV_3545	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	9	0	0	0	7	20	6	0	4	0	18	0	0	0
ASV_3546	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	11	0	0	6	9	0	3	0	4	24	5	2	0
ASV_3547	0	0	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	19	0	0	0	0	0	0
ASV_3548	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
