#OTU Table	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9
ASV_1	273	4839	21160	0	82534	6572	32002	1010	0	1446	32	9374	2649	855	19181	13327	4040	16465	5	13766	5	459	349	41	1647	318	124	454	0	112
ASV_2	8188	2601	1762	466	5716	9318	1345	354	425	2956	10073	1406	8300	298	3720	8752	8394	939	179	5072	6504	5496	7451	175	3491	8600	6449	449	130	4802
ASV_3	739	419	5090	10235	25329	6092	71	1345	1576	4985	24	125	462	1583	1359	2788	86	4695	18	12827	4	29	71	382	50	70	2	232	0	24
ASV_4	0	69262	315	0	3231	13	19	1312	0	0	0	188	6	0	48	0	0	21	0	0	2	37	3	0	5	0	0	5	0	0
ASV_5	4806	1570	995	198	2633	5488	594	219	174	1715	5273	729	3897	151	1654	4496	4374	486	63	2328	3425	2943	3390	108	1703	4667	3504	177	38	2321
ASV_6	11	33696	3928	381	496	89	93	14355	1057	525	0	5	16	0	2	0	10	16	0	86	9	83	5	0	46	0	11	22	2	11
ASV_7	0	15	0	0	0	0	0	10	0	50509	0	0	0	0	0	0	0	21	0	97	0	0	0	0	0	0	0	0	0	19
ASV_8	0	4616	0	0	0	0	0	70	0	0	0	41715	0	0	0	0	4	314	0	0	0	148	0	0	0	0	2	3	0	0
ASV_9	430	0	0	0	0	0	41868	0	0	0	0	0	230	11	0	3	158	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_10	0	0	757	0	0	40	210	40308	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	76	0	0
ASV_11	1263	759	146	419	3516	3710	249	172	529	453	1373	1244	1280	233	1994	2833	798	493	312	1089	879	6654	1064	128	1922	3410	797	341	249	625
ASV_12	1068	51	296	696	298	678	106	38	1120	208	1193	74	1174	1230	1042	788	1095	753	1069	375	1466	990	1195	1938	1573	1330	1190	1649	1021	979
ASV_13	711	231	89	195	1927	1845	135	70	392	320	1037	619	716	148	1682	2159	378	257	255	1521	589	3113	451	67	1471	2106	429	200	162	530
ASV_14	0	6	12	17	0	14	0	93	3065	43	0	0	0	0	0	0	0	887	15152	4001	0	0	0	0	0	0	0	27	43	2
ASV_15	276	657	742	2468	230	1679	3	113	4676	53	147	125	77	277	945	312	464	2262	4738	657	29	83	31	54	705	52	53	243	51	64
ASV_16	5073	88	101	530	178	323	84	81	312	351	3740	99	1604	966	446	273	530	381	441	478	1799	131	1274	523	437	407	546	310	198	329
ASV_17	127	74	3789	0	6576	21	623	1569	2294	4937	11	0	19	0	8	0	73	809	26	160	5	0	31	0	6	0	30	21	0	0
ASV_18	35	0	2339	0	3141	0	3903	33	0	9976	0	0	8	0	18	3	413	0	2	1147	0	0	6	0	2	0	5	0	0	31
ASV_19	85	235	0	36	0	17	43	97	7	3406	20	405	26	13	24	22	160	5127	21	10278	26	47	21	0	15	8	0	99	0	16
ASV_20	0	252	11	0	0	0	0	11	0	0	0	18564	0	0	0	0	0	270	0	0	0	83	0	0	0	0	0	3	0	0
ASV_21	132	89	30	12247	275	482	13	438	2045	113	8	0	0	114	0	4	33	1520	183	141	2	12	0	71	4	3	4	94	5	16
ASV_22	883	38	20	687	415	498	150	37	702	49	783	41	399	818	823	91	622	768	671	66	1043	589	438	1759	1415	464	719	1324	1193	130
ASV_23	383	293	37	237	324	1696	214	76	1260	217	196	312	680	439	1376	2211	1527	949	1149	1026	83	456	337	110	649	367	102	581	38	147
ASV_24	523	37	139	1630	403	597	23	11	342	140	658	77	788	1181	466	378	323	378	417	232	762	897	905	1413	950	637	396	902	402	405
ASV_25	28	74	32	221	21	36	209	382	92	57	14	64	100	125	26	6	272	785	12824	4	13	119	22	36	48	4	73	202	64	60
ASV_26	967	24	1168	748	0	322	78	40	27	528	837	12	3007	614	423	151	347	255	5	712	460	31	2758	409	63	189	261	266	7	742
ASV_27	599	17	16	249	132	176	118	26	378	41	961	15	701	846	1176	105	492	521	465	118	1057	261	686	1073	1244	275	483	1965	597	210
ASV_28	1006	40	467	363	106	276	48	74	40	504	1125	47	1959	1672	168	255	293	210	24	632	629	117	1766	657	86	339	376	177	18	671
ASV_29	900	300	95	44	1033	1215	95	23	62	210	909	277	568	41	666	785	435	141	25	315	596	1563	466	34	715	1085	413	42	11	281
ASV_30	0	2	0	0	0	0	7	251	0	11686	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	31
ASV_31	0	0	956	0	0	270	139	0	1564	160	0	0	18	0	0	9	14	0	16	9110	0	0	0	0	0	0	0	0	5	0
ASV_32	0	14	0	1541	568	2029	3	15	5493	0	0	0	0	215	69	57	0	57	622	0	0	0	0	49	25	27	4	55	5	0
ASV_33	25	0	5021	36	105	0	13	3171	0	83	16	0	54	17	0	0	3	1095	4	192	74	29	318	17	0	19	46	116	0	317
ASV_34	0	451	0	0	0	0	0	4	0	0	0	10174	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	345	12	55	540	391	730	93	22	148	79	728	94	738	416	388	988	259	242	205	144	491	485	557	574	404	555	200	443	133	143
ASV_36	553	356	120	25	884	844	59	93	122	275	495	233	485	42	620	587	231	273	70	504	291	1004	402	18	378	622	454	155	36	309
ASV_37	0	3007	2218	0	66	0	25	162	0	1440	0	18	4	0	0	0	0	564	0	2285	0	13	0	0	0	0	3	9	0	7
ASV_38	443	198	114	0	336	1245	36	37	120	345	430	128	397	32	447	826	249	93	24	600	275	653	370	18	469	887	274	56	12	552
ASV_39	141	27	114	191	196	175	33	31	649	57	215	28	273	396	454	495	281	289	468	111	245	310	363	631	753	778	307	514	880	225
ASV_40	197	142	23	0	811	1326	143	32	107	34	146	352	89	40	1221	714	120	69	73	111	92	1440	82	25	859	739	308	102	46	61
ASV_41	0	989	0	0	0	0	0	0	0	0	0	8375	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
ASV_42	9	1158	25	0	254	0	465	4444	327	1834	0	0	0	12	0	0	4	214	5	111	0	0	0	0	0	0	0	210	0	22
ASV_43	198	37	16	182	895	446	41	8	111	58	251	45	310	345	861	537	90	131	101	189	224	328	373	614	1314	538	123	241	108	146
ASV_44	0	886	0	0	0	0	0	0	0	0	0	7930	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ASV_45	0	0	9	0	0	0	0	0	0	0	27	0	8388	3	0	0	0	0	0	0	8	0	112	0	0	0	0	0	0	0
ASV_46	15	444	0	2290	0	607	3	19	2747	46	0	83	0	139	8	135	25	805	349	28	0	11	0	74	0	5	0	2	0	0
ASV_47	503	18	22	227	0	34	0	11	172	53	525	11	939	129	71	13	390	172	363	64	587	260	608	451	114	129	528	334	569	330
ASV_48	0	6840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	0	0	0	0	0	0	0	0	0	8	16	0	0	0	6403	0	118	5	0	0	0	0	0	0	7	0	0	0	0	0
ASV_50	11	133	570	0	2312	185	860	28	0	37	0	273	66	29	552	346	110	469	0	394	0	16	11	0	61	12	0	15	0	0
ASV_51	315	71	118	43	63	811	54	14	30	116	265	53	320	19	99	1393	228	76	2	241	150	159	364	14	64	909	200	20	8	244
ASV_52	91	0	0	0	13	1486	188	34	0	0	86	0	3	38	638	2789	21	287	3	5	7	0	0	21	85	470	0	110	0	0
ASV_53	67	26	65	331	0	3	0	9	145	33	111	7	59	93	37	19	283	61	360	9	216	781	138	375	272	322	774	278	1250	220
ASV_54	575	0	13	116	13	75	2	5	142	56	594	4	196	199	109	9	570	229	145	102	924	51	233	403	184	136	353	195	205	463
ASV_55	308	63	72	6	436	198	45	60	71	358	487	71	412	25	281	208	256	129	30	791	351	177	297	14	152	156	157	66	19	534
ASV_56	206	109	45	0	119	1016	37	42	131	114	196	146	215	20	321	639	132	83	21	258	133	549	170	15	199	869	169	64	34	147
ASV_57	400	163	57	0	488	475	35	27	33	88	358	189	268	16	221	295	180	70	19	105	264	1055	250	10	222	465	220	36	10	80
ASV_58	401	172	88	0	198	304	39	19	11	322	489	104	370	15	180	267	350	73	11	337	327	405	309	0	169	282	276	36	0	385
ASV_59	317	101	53	35	126	720	69	33	27	126	384	48	357	19	190	753	364	91	4	208	266	179	315	7	117	460	253	32	4	233
ASV_60	331	0	25	0	0	0	0	0	0	0	471	0	2773	4	0	0	0	0	0	0	515	0	1621	0	0	0	0	0	0	0
ASV_61	248	98	43	31	32	604	46	11	94	149	186	62	251	12	131	1256	208	60	13	283	168	212	285	0	92	598	240	15	13	273
ASV_62	0	0	0	0	0	0	0	5670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	9	16	5068	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	34	0	0
ASV_64	0	0	0	0	0	0	0	0	0	0	5573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ASV_65	17	0	688	0	0	1003	1780	5	1113	26	0	0	7	0	0	68	395	0	38	363	0	0	0	0	0	0	39	0	7	0
ASV_66	0	0	0	0	534	270	234	21	3294	446	0	0	0	0	0	2	80	6	83	110	0	0	0	0	6	0	5	0	0	3
ASV_67	0	0	0	5067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_68	413	9	32	87	0	7	0	3	15	41	624	0	1315	45	5	0	162	34	27	34	540	32	837	111	13	19	224	39	36	343
ASV_69	693	3	4	123	0	13	28	14	50	25	383	5	96	151	25	12	1000	519	71	58	475	47	94	252	22	36	525	112	62	148
ASV_70	219	4	27	161	66	168	0	0	101	21	216	10	302	156	105	64	108	38	64	19	339	427	370	586	298	274	156	206	149	71
ASV_71	306	8	13	75	80	35	18	6	90	39	484	13	373	179	199	109	41	67	83	83	604	137	378	228	292	165	45	302	141	80
ASV_72	160	14	10	77	0	9	13	6	506	20	255	8	91	57	30	10	306	216	537	37	287	131	87	107	24	51	260	329	867	116
ASV_73	379	129	114	0	95	300	28	9	12	117	249	37	409	8	54	551	196	83	6	215	200	160	425	8	72	329	180	15	7	219
ASV_74	394	18	0	0	0	17	9	3	106	6	414	20	163	3	13	32	926	292	161	30	667	214	170	16	23	33	475	138	181	57
ASV_75	0	0	0	0	0	0	52	4479	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	2	0	0
ASV_76	280	7	103	203	0	51	19	28	13	145	339	5	491	673	37	58	262	32	7	157	192	20	522	296	23	69	325	30	0	165
ASV_77	369	12	30	50	13	57	30	0	335	31	342	0	85	67	37	23	503	302	211	41	387	29	85	197	46	71	447	181	247	105
ASV_78	593	0	36	0	0	16	0	12	41	39	505	0	137	51	0	9	416	157	69	83	599	60	190	109	12	16	523	177	91	377
ASV_79	132	7	16	139	7	121	10	19	432	23	191	5	32	166	92	76	315	205	388	57	150	61	43	282	188	148	284	307	255	139
ASV_80	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	217	0	3665	0	0	0	0	0	0	0	0	0	16
ASV_81	121	148	30	31	160	375	24	34	90	138	129	145	144	8	150	241	166	94	31	209	78	608	107	6	199	371	119	48	22	197
ASV_82	11	22	0	9	0	18	0	62	18	6	10	48	13	24	26	11	10	3799	10	11	11	14	4	8	5	19	11	14	11	0
ASV_83	83	111	0	0	212	283	31	7	82	34	107	271	103	16	693	254	33	35	60	52	42	646	56	18	534	195	86	57	69	25
ASV_84	0	995	0	0	0	0	0	125	0	4	0	1925	0	0	0	0	0	626	0	0	0	19	0	74	0	22	0	0	0	226
ASV_85	191	9	28	5	42	54	0	0	75	28	392	32	856	21	32	88	29	28	48	68	418	213	888	36	66	71	40	69	64	81
ASV_86	468	15	72	31	398	139	5	0	24	47	341	27	455	12	189	234	14	42	20	122	220	159	444	16	197	157	41	17	9	36
ASV_87	111	40	9	6	48	143	48	9	81	18	231	55	113	61	224	158	107	486	135	43	202	299	100	77	200	204	106	455	122	55
ASV_88	138	4	9	86	19	83	0	0	0	24	269	6	846	141	69	337	22	29	0	25	274	23	832	224	160	165	26	68	0	20
ASV_89	279	10	271	205	0	120	16	7	9	148	270	0	513	228	47	41	70	124	0	150	181	8	560	116	32	51	87	122	0	219
ASV_90	138	65	27	77	545	140	6	2	36	61	191	144	130	11	583	90	11	25	15	130	90	412	100	4	581	102	33	31	17	77
ASV_91	0	2605	0	0	0	0	0	6	0	1182	0	0	0	0	0	0	0	0	0	2	0	4	0	0	2	0	0	0	0	0
ASV_92	110	12	8	135	0	20	0	0	59	4	351	23	562	105	63	33	134	67	72	6	386	434	460	213	118	83	118	121	68	22
ASV_93	0	0	0	3499	0	49	0	0	0	0	0	0	0	160	22	7	0	0	0	0	0	0	0	19	16	6	0	0	0	0
ASV_94	192	8	345	159	3	31	6	10	10	92	247	0	774	152	92	31	62	30	0	128	139	0	725	83	15	26	54	33	0	150
ASV_95	347	85	96	0	64	55	41	12	7	162	384	26	300	15	18	92	276	22	2	272	221	78	273	10	14	70	283	8	0	266
ASV_96	437	0	14	0	0	0	0	0	0	15	719	0	976	0	0	0	0	11	0	33	693	0	536	0	0	0	0	6	0	41
ASV_97	178	136	99	0	70	300	38	0	0	100	218	47	236	16	80	231	296	26	0	159	135	215	203	8	73	200	231	11	0	162
ASV_98	387	126	112	0	96	100	41	4	0	140	304	53	178	6	78	79	241	51	0	209	232	221	162	10	72	89	247	9	0	190
ASV_99	262	87	29	0	105	324	32	10	19	84	231	49	173	7	101	350	192	29	0	100	141	184	182	5	127	269	165	7	12	121
ASV_100	0	0	35	0	0	1284	2	5	1894	0	0	0	0	0	0	4	0	0	78	0	0	0	0	0	0	3	0	0	3	0
ASV_101	126	0	18	103	42	133	32	0	111	23	139	11	174	106	175	92	96	81	104	42	127	126	224	207	336	157	90	146	151	81
ASV_102	3	0	58	400	0	2517	18	28	184	0	0	0	0	0	0	17	0	0	3	0	0	0	0	4	0	9	0	0	0	0
ASV_103	136	64	34	0	256	413	19	19	0	67	147	43	139	12	122	418	89	23	0	83	126	180	122	7	82	384	137	9	0	95
ASV_104	186	0	0	0	35	64	22	6	180	17	226	9	138	17	78	57	327	154	109	52	245	55	124	47	121	85	245	294	170	110
ASV_105	260	90	43	2	66	150	25	13	6	79	258	29	346	5	98	112	137	46	6	159	208	167	276	7	110	120	144	15	8	153
ASV_106	205	0	5	221	35	56	11	2	84	35	198	23	41	124	61	64	104	104	116	33	263	189	78	340	148	126	132	115	120	88
ASV_107	0	0	0	2874	0	0	8	42	0	9	0	0	0	5	0	0	2	105	0	31	0	0	0	23	0	0	2	0	0	0
ASV_108	257	0	30	22	0	13	15	14	161	43	206	0	155	33	21	0	377	206	198	47	236	19	231	67	22	24	257	123	159	141
ASV_109	226	4	31	49	0	74	72	14	141	40	209	9	120	33	32	13	393	134	161	101	163	31	191	74	35	50	267	113	133	163
ASV_110	3	9	76	179	0	0	0	8	753	20	61	0	3	29	0	3	3	118	1030	21	14	15	46	40	29	12	20	152	317	98
ASV_111	0	158	2	1003	839	487	2	87	43	235	0	0	0	53	39	0	0	5	0	60	0	4	0	15	3	2	2	4	0	3
ASV_112	250	0	78	234	0	48	6	21	18	97	232	5	317	214	57	35	97	102	0	114	168	18	288	261	24	68	58	56	0	117
ASV_113	242	63	67	35	80	238	38	0	0	80	249	32	183	8	85	203	201	19	0	94	145	123	163	4	75	244	168	14	0	127
ASV_114	76	34	10	101	118	78	20	19	274	11	85	31	19	24	79	69	143	112	248	16	88	289	21	58	130	106	159	193	310	58
ASV_115	0	0	0	0	0	0	0	0	0	0	0	2932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_116	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	2845	0	0	0	0	0	4	0	0	0	9	0	7
ASV_117	72	8	0	25	26	97	0	0	405	32	55	0	14	26	21	8	154	142	392	28	107	65	13	78	55	62	191	273	411	106
ASV_118	0	4	0	236	252	331	0	5	666	0	0	0	0	31	352	15	0	10	118	0	6	12	0	7	791	18	0	9	0	2
ASV_119	20	2	0	122	588	361	0	6	30	0	29	7	52	117	200	301	8	28	16	0	27	50	20	187	275	228	16	118	18	0
ASV_120	316	72	111	0	0	47	25	13	0	202	218	11	217	7	16	43	165	19	0	316	152	58	209	6	11	71	155	0	0	339
ASV_121	259	54	15	0	100	138	11	0	28	36	270	158	222	8	86	124	30	11	16	120	170	445	173	0	99	108	27	20	8	48
ASV_122	85	10	25	12	98	94	0	8	106	17	83	5	195	92	82	59	81	52	91	35	110	112	302	253	229	162	126	50	93	114
ASV_123	69	67	34	0	45	185	20	17	60	59	56	113	63	21	422	101	17	40	28	97	32	473	56	8	277	180	57	60	21	82
ASV_124	17	0	0	0	0	0	2373	0	311	0	0	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	2	0
ASV_125	196	3	8	0	18	50	10	0	67	13	284	3	205	122	129	36	63	56	98	13	294	76	193	196	173	52	93	136	119	21
ASV_126	0	0	0	0	0	2613	0	12	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_127	150	92	24	0	78	222	20	16	27	146	159	45	131	9	81	131	114	27	9	199	82	185	132	3	85	173	136	8	0	170
ASV_128	166	3	171	68	0	78	20	17	4	116	116	0	489	175	20	12	95	37	0	117	59	2	480	90	15	21	60	29	0	187
ASV_129	78	12	3	181	47	132	0	0	58	6	56	10	54	179	76	62	60	8	43	5	100	327	61	460	169	182	100	50	104	24
ASV_130	368	6	0	526	0	368	3	0	123	3	78	7	14	99	119	26	18	65	67	3	44	70	12	180	215	56	30	112	23	10
ASV_131	287	0	7	126	0	0	0	0	56	9	295	0	126	39	7	0	267	52	113	6	317	72	104	95	29	34	224	121	144	103
ASV_132	0	128	0	0	0	0	0	0	0	0	0	2488	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_133	74	13	6	385	0	67	7	5	88	13	53	14	11	96	54	56	154	84	109	0	57	268	11	353	143	89	128	82	127	61
ASV_134	32	2	16	103	26	22	0	0	258	18	237	0	14	94	0	2	5	6	256	3	179	24	66	448	50	266	27	148	265	38
ASV_135	35	25	12	5	0	397	12	0	28	42	50	44	22	15	235	504	23	33	17	186	35	181	18	0	145	417	26	28	11	55
ASV_136	0	0	0	1993	560	0	0	0	0	13	0	0	0	4	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_137	0	0	0	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	1997	0	0	0	0	0	0	0	0	0	0
ASV_138	108	29	59	0	65	322	5	11	133	77	99	10	139	8	49	408	38	23	7	148	46	70	156	0	69	236	64	3	10	162
ASV_139	80	0	16	176	0	0	0	2	18	19	129	0	74	20	0	0	288	19	311	13	143	125	112	137	30	30	470	37	152	125
ASV_140	0	62	58	0	0	6	4	2040	35	212	0	0	0	13	0	0	0	24	0	12	0	0	0	0	0	0	0	48	0	2
ASV_141	81	7	0	0	0	147	10	12	245	7	91	21	11	47	161	15	49	110	209	0	97	189	0	52	166	74	85	341	276	0
ASV_142	94	5	54	56	0	12	52	20	138	53	102	7	70	30	0	10	317	244	227	47	75	37	118	96	11	14	260	72	112	167
ASV_143	22	49	14	0	124	403	9	14	17	19	9	54	9	0	383	345	12	21	10	67	22	287	15	0	173	330	38	12	7	12
ASV_144	52	2	3	44	135	149	24	5	6	7	130	9	140	74	276	165	7	24	31	30	124	101	114	83	332	213	36	118	16	17
ASV_145	256	0	14	38	0	10	0	4	0	4	233	0	398	62	12	3	26	7	3	6	292	12	310	378	108	45	42	25	11	127
ASV_146	46	11	0	3	29	98	12	0	287	0	77	23	13	93	124	8	51	125	153	2	129	188	17	79	158	44	44	320	286	7
ASV_147	229	28	6	0	24	47	12	0	33	11	343	46	214	20	36	43	49	51	51	22	336	379	119	32	45	36	66	37	31	23
ASV_148	2	9	890	29	134	0	10	655	0	9	0	9	4	0	0	0	13	545	0	6	4	0	0	0	0	0	0	17	0	7
ASV_149	5	2	0	0	0	124	1033	7	0	26	0	0	0	0	5	28	46	2	0	1061	0	0	0	0	0	0	0	0	0	0
ASV_150	0	84	0	0	0	0	0	5	0	0	0	2246	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_151	45	41	12	0	58	436	6	8	16	38	43	32	40	8	139	328	28	19	0	159	26	186	35	5	98	387	47	17	7	56
ASV_152	130	0	8	10	0	8	3	4	116	17	112	5	364	14	11	11	97	54	164	89	164	57	438	16	20	21	65	45	190	75
ASV_153	11	0	29	57	0	12	0	0	18	0	67	6	71	102	79	195	0	12	29	8	57	55	194	172	360	509	24	184	27	21
ASV_154	18	0	935	0	953	15	9	26	68	87	0	0	0	9	0	0	0	58	29	22	0	0	0	8	2	0	2	3	0	11
ASV_155	0	0	2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_156	117	0	144	236	0	23	15	16	5	44	173	0	354	65	2	0	176	38	0	91	106	3	249	137	7	19	95	16	0	108
ASV_157	90	10	30	23	103	63	2	6	47	6	65	6	121	121	170	39	51	58	45	20	98	73	211	243	160	82	59	140	48	33
ASV_158	93	35	18	33	186	229	14	3	33	43	129	29	113	13	140	168	96	18	13	71	85	152	80	4	108	179	47	17	6	56
ASV_159	0	4	0	0	0	0	19	0	0	13	0	4	0	2	2	2	0	0	0	2156	0	0	0	0	0	0	0	0	0	3
ASV_160	141	35	0	0	301	132	0	0	0	49	168	30	161	13	100	138	91	22	0	84	89	117	148	2	61	160	64	0	4	90
ASV_161	102	20	13	0	235	100	6	3	7	22	200	55	60	8	237	167	12	23	23	122	87	169	56	0	170	133	27	62	14	46
ASV_162	82	0	9	71	81	97	0	8	56	0	115	8	103	101	66	50	28	19	47	0	139	155	87	337	164	122	34	86	95	12
ASV_163	0	103	0	0	0	0	0	0	0	0	0	2062	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_164	136	106	11	0	70	218	18	12	0	58	126	69	77	6	115	91	118	11	2	64	111	213	89	3	123	118	123	4	0	50
ASV_165	173	12	49	100	0	33	9	11	0	69	213	0	304	222	23	29	36	49	3	97	90	14	291	92	4	42	58	13	2	92
ASV_166	65	4	22	130	291	129	0	5	10	8	64	5	247	70	81	116	4	19	8	16	76	22	260	124	150	118	11	46	0	17
ASV_167	0	0	0	0	0	0	3	1961	31	0	0	0	0	0	0	0	0	35	0	10	0	0	0	0	0	0	0	77	0	0
ASV_168	138	9	40	176	0	21	0	5	103	45	174	0	20	30	7	0	63	58	194	22	136	48	35	107	30	66	77	138	173	197
ASV_169	101	0	16	7	0	29	12	8	0	97	184	0	324	160	7	44	92	46	3	141	89	0	275	74	12	56	112	30	0	189
ASV_170	5	0	0	1979	0	2	0	0	0	0	17	0	0	52	0	2	6	0	0	0	0	0	0	0	8	0	0	4	0	0
ASV_171	23	20	0	96	0	37	0	2	247	8	15	13	12	31	39	13	99	144	243	20	37	134	19	125	62	94	80	109	273	66
ASV_172	99	13	54	154	0	21	17	26	6	72	115	0	163	103	49	41	142	63	0	100	67	6	197	231	9	45	117	16	0	122
ASV_173	40	0	21	43	257	120	2	3	2	14	53	0	214	27	108	209	3	4	6	72	58	12	196	42	234	206	15	15	0	38
ASV_174	133	28	7	0	24	145	20	3	45	80	98	21	89	0	18	389	54	23	0	128	78	94	84	7	28	217	71	4	0	122
ASV_175	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	7	1947	0	0	0	0	0	0	0	0	0	0
ASV_176	137	0	11	315	0	52	0	7	21	28	199	0	188	146	11	12	24	27	33	31	140	36	171	175	45	31	12	23	27	75
ASV_177	13	0	0	10	0	20	0	0	7	10	66	0	78	93	410	24	17	18	11	28	63	43	107	194	549	72	14	87	11	32
ASV_178	21	0	0	0	0	0	5	0	0	0	183	0	0	49	580	0	15	24	19	0	201	0	0	99	543	11	27	155	28	0
ASV_179	0	476	289	23	53	63	19	360	187	0	0	114	0	0	10	23	55	179	9	2	0	64	4	2	2	7	11	8	0	0
ASV_180	31	0	3	26	165	89	7	0	33	15	60	3	114	107	254	159	5	35	23	54	40	13	76	59	211	218	26	79	12	38
ASV_181	77	17	0	198	41	53	13	0	56	18	65	29	18	36	24	67	133	88	82	18	79	201	23	111	111	71	121	87	70	47
ASV_182	29	6	3	36	218	57	5	0	16	4	45	12	78	126	208	80	17	4	9	17	74	56	136	135	329	149	27	16	10	33
ASV_183	85	3	0	703	32	369	0	14	16	12	23	2	4	142	30	16	3	57	42	4	9	12	3	168	58	26	9	48	7	11
ASV_184	84	5	10	28	0	21	0	0	52	26	157	0	114	118	43	11	66	60	102	19	165	91	62	173	95	24	73	136	89	82
ASV_185	47	17	83	23	0	0	0	14	36	33	115	0	12	15	0	6	316	81	130	10	110	44	36	57	5	44	244	82	105	225
ASV_186	79	0	213	85	0	50	15	6	7	70	89	5	293	85	46	8	52	33	0	86	65	5	304	62	4	32	40	19	2	121
ASV_187	31	6	4	50	42	63	2	0	23	2	69	0	210	129	178	117	24	19	35	14	54	130	146	91	154	121	17	108	21	16
ASV_188	134	0	4	65	0	14	0	4	17	22	148	0	104	125	43	17	44	48	16	15	229	35	73	193	173	70	52	87	38	97
ASV_189	53	55	23	0	0	199	16	4	8	29	32	21	40	0	17	567	45	15	0	82	20	102	86	0	19	281	38	12	0	81
ASV_190	0	0	46	0	0	585	0	6	0	0	0	0	461	0	0	323	0	79	0	0	0	0	254	0	0	25	0	62	0	0
ASV_191	108	5	37	60	0	0	0	17	36	21	189	0	19	31	17	3	30	34	141	7	169	85	37	52	44	41	126	86	259	176
ASV_192	64	0	0	7	13	69	10	0	21	2	84	4	111	133	254	0	8	23	25	2	89	18	80	215	352	57	23	120	30	9
ASV_193	4	0	23	1192	0	10	0	0	0	9	0	0	0	3	0	0	0	24	0	0	6	0	0	204	20	93	46	54	0	132
ASV_194	23	0	29	110	122	54	0	0	0	11	22	0	69	289	103	98	2	8	10	58	18	16	75	299	169	115	5	69	5	38
ASV_195	46	0	0	173	0	3	0	0	58	3	103	0	20	73	19	0	22	44	75	29	142	21	32	158	59	32	59	337	187	115
ASV_196	21	2	0	70	3	0	7	2	74	21	45	14	16	22	22	5	72	729	116	70	27	48	34	40	31	15	58	52	42	105
ASV_197	0	0	0	306	0	0	0	0	0	0	0	3	0	420	0	0	0	0	0	0	0	6	0	1024	0	0	0	0	0	3
ASV_198	73	53	31	0	114	118	7	9	6	54	72	55	51	8	126	24	73	29	0	120	37	247	76	2	124	65	89	0	0	93
ASV_199	0	0	0	0	96	65	0	0	0	0	0	0	0	0	175	178	0	5	4	6	10	9	0	0	627	430	15	105	3	5
ASV_200	127	12	13	84	0	36	0	0	71	10	78	11	139	80	32	29	174	61	50	20	59	50	172	122	66	57	66	20	31	45
ASV_201	90	0	63	55	0	57	18	10	0	128	108	0	143	231	9	19	37	35	0	131	31	4	150	108	8	41	94	33	0	107
ASV_202	55	5	0	301	35	44	0	0	57	0	44	4	54	106	32	29	98	49	93	3	62	112	49	93	86	42	99	80	71	4
ASV_203	2	6	18	248	69	8	0	0	345	10	5	0	0	0	0	0	0	3	182	0	8	48	6	69	59	15	33	13	496	41
ASV_204	91	45	17	0	42	84	3	14	7	62	136	61	97	2	26	49	44	8	10	54	84	507	70	4	18	50	35	5	0	53
ASV_205	17	32	23	6	18	116	0	4	129	0	27	58	106	49	99	175	60	24	109	14	11	124	86	55	150	118	19	21	17	9
