""	"Raw"	"Qual_filter"	"Derep"	"ASVs.R1"	"ASVs.R2"	"Merged"	"nonchim"	"percentage_used"
"E-1"	109284	101553	100252	98326	99272	89723	84549	77.3663116284177
"E-10"	194536	183576	181943	180185	181100	174646	152379	78.3294608709956
"E-2"	105228	99062	98132	97413	97609	93832	92311	87.7247500665222
"E-3"	137454	127301	125692	125206	125340	122103	120939	87.9850713693308
"E-4"	194443	184817	183309	183050	183133	181480	180112	92.6297166778953
"E-5"	112021	107099	106286	105523	105901	101138	97580	87.1086671249141
"E-6"	122869	117574	116750	116049	116375	112825	96509	78.5462565822136
"E-7"	120598	114635	113642	112703	113126	109270	101482	84.1489908622033
"E-8"	116391	109961	108862	105530	107077	93260	89477	76.8762189516372
"E-9"	157840	150389	149213	147116	147928	138085	119082	75.4447541814496
"H-1"	187083	176989	175264	166181	170700	134817	115103	61.5250984856989
"H-10"	206937	197892	196561	195084	195817	188091	128342	62.0198417875972
"H-2"	198576	187550	185537	176739	181187	141820	113750	57.2828539199098
"H-3"	80112	75243	74051	69427	71744	55439	51147	63.8443678849611
"H-4"	128375	122797	121780	118768	119996	106166	94415	73.5462512171373
"H-5"	126681	119980	118838	116227	117401	104659	86047	67.924155950774
"H-6"	149952	142223	140923	132962	136765	103771	85785	57.2083066581306
"H-7"	155374	147535	146149	140799	143493	119839	101252	65.1666301955282
"H-8"	154418	145020	143331	136583	139717	114101	104921	67.946094367237
"H-9"	147363	139331	137955	135592	136760	125007	108685	73.753248780223
"SAH-1"	156686	148916	147542	138393	142494	108919	95406	60.8899327317055
"SAH-10"	160769	150936	149157	140661	144644	111781	88939	55.3209884990266
"SAH-2"	196750	186257	184291	170921	177626	127985	104395	53.0597204574333
"SAH-3"	135770	123901	121982	114282	117896	89323	83989	61.8612359136775
"SAH-4"	166082	156657	155022	146159	150257	114846	100932	60.7723895425151
"SAH-5"	172976	164054	162447	152200	157327	119393	95558	55.2435019887152
"SAH-6"	150287	141410	139746	130468	134884	99604	87895	58.4847658147411
"SAH-7"	142126	130461	128482	118355	123040	87008	80515	56.6504369362397
"SAH-8"	191365	179175	176897	158450	167453	106983	98794	51.6259504089045
"SAH-9"	145762	138161	136762	124403	130222	87964	75009	51.4599141065573
