sample-id	q0	q1	q2	sample	Source	Date	Year	Location	Week	Raw reads	Colect_number	Specimen	quant_reading	Effective_reads	ASVs
1	DR1014-E	135	9.03687255360172	3.17178776231424	DR1014-E	Stipe	sep-30	2021	Monte obscuro Emiliano Zapata	1	159896	DRamos 1014	Ind_1	948	68295	135
2	DR1014-SAH	2118	1145.96121975615	576.966108579838	DR1014-SAH	Soil associated	sep-30	2021	Monte obscuro Emiliano Zapata	1	223804	DRamos 1014	Ind_1	3071	40974	2118
3	DR1015-SAH	2013	1017.33053825184	382.229264843423	DR1015-SAH	Soil associated	sep-30	2021	Monte obscuro Emiliano Zapata	1	170670	DRamos 1015	Ind_2	3664	33175	2013
4	DR1018-E	768	47.8749484490865	5.35083720282328	DR1018-E	Stipe	oct-07	2021	Monte obscuro Emiliano Zapata	2	68578	DRamos 1018	Ind_3	97	23890	768
5	DR1018-SAH	1824	887.566616063351	436.200763932925	DR1018-SAH	Soil associated	oct-07	2021	Monte obscuro Emiliano Zapata	2	211120	DRamos 1018	Ind_3	4017	38161	1824
6	DR1019-E	1012	447.167799401627	145.072574414808	DR1019-E	Stipe	oct-07	2021	Monte obscuro Emiliano Zapata	2	144270	DRamos 1019	Ind_4	215	33853	1012
7	DR1019-SAH	2202	1317.87228895256	723.411535617511	DR1019-SAH	Soil associated	oct-07	2021	Monte obscuro Emiliano Zapata	2	185380	DRamos 1019	Ind_4	3754	34576	2202
8	DR1020-SAH	2017	1081.41206844325	538.155567955838	DR1020-SAH	Soil associated	oct-07	2021	Monte obscuro Emiliano Zapata	2	181876	DRamos 1020	Ind_5	3448	35217	2017
9	DR1021-SAH	1796	853.30000499347	429.608607300758	DR1021-SAH	Soil associated	oct-07	2021	Monte obscuro Emiliano Zapata	2	209606	DRamos 1021	Ind_6	3879	42441	1796
10	DR1025-E	933	375.937388650233	153.597534882377	DR1025-E	Stipe	oct-14	2021	Monte obscuro Emiliano Zapata	3	142622	DRamos 1025	Ind_7	87	41888	933
