sample	q0_c	q1_c	q2_c	Source	Date	Year	Location	Week	Raw.reads	Colect_number	Specimen	quant_reading	Effective_reads	ASVs
38	DR1048-H	192	34.1145521604716	15.4940454237587	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	170314	DRamos 1048	Ind_26	3649	59669	726
39	DR1048-SAH	203	88.5537580942603	49.8255473976194	Soil associated	oct-26	2021	El Castillo/Zentla	5	212318	DRamos 1048	Ind_26	4373	47993	1049
40	DR1049-E	251	34.8155812725576	7.86616550445444	Stipe	oct-26	2021	El Castillo/Zentla	5	247528	DRamos 1049	Ind_27	92	65984	1274
41	DR1049-H	245	94.452778872482	47.8268812624244	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	230820	DRamos 1049	Ind_27	87	45788	1538
42	DR1049-SAH	237	102.704730736559	53.5435815058944	Soil associated	oct-26	2021	El Castillo/Zentla	5	192100	DRamos 1049	Ind_27	4249	33759	1413
43	E-1	346	75.2250683524489	20.9753751152823	Stipe	ago-08	2023	Naolinco	6	281262	DRamos	Ind_28	1327	78107	1597
44	E-10	202	5.022361576399	2.80501144731478	Stipe	ago-28	2023	Naolinco	7	474660	DRamos	Ind_37	2260	149323	542
45	E-2	225	12.4422124400235	4.01692889236661	Stipe	ago-08	2023	Naolinco	6	257930	DRamos	Ind_29	984	79089	782
46	E-3	233	68.7392417269177	23.4806522512631	Stipe	ago-08	2023	Naolinco	6	343020	DRamos	Ind_30	592	101633	893
47	E-4	154	7.63052090849918	2.50997063780165	Stipe	ago-10	2023	Naolinco	6	474632	DRamos	Ind_31	264	173869	403
48	E-5	303	49.0903329609986	18.4237350230288	Stipe	ago-10	2023	Naolinco	6	276584	DRamos	Ind_32	1127	93701	1003
49	E-6	204	4.84392656887976	2.01443742382972	Stipe	ago-28	2023	Naolinco	7	289870	DRamos	Ind_33	1772	95704	479
50	E-7	163	6.4896414942714	2.9408475353651	Stipe	ago-28	2023	Naolinco	7	297668	DRamos	Ind_34	1249	96474	415
51	E-8	293	66.4601160909367	24.3695119383101	Stipe	ago-28	2023	Naolinco	7	288130	DRamos	Ind_35	1653	76767	1380
52	E-9	272	25.8405402377542	8.56500695438057	Stipe	ago-28	2023	Naolinco	7	392038	DRamos	Ind_36	1093	114959	926
53	H-1	336	81.6776210094725	20.9243573145793	Rhizhomorph	ago-08	2023	Naolinco	6	459838	DRamos	Ind_28	1981	102760	1882
54	H-10	191	14.3315581493768	4.04894660512958	Rhizhomorph	ago-28	2023	Naolinco	7	494312	DRamos	Ind_37	2677	118895	472
55	H-2	337	87.3798414588805	27.5019920754429	Rhizhomorph	ago-08	2023	Naolinco	6	502928	DRamos	Ind_29	2200	103699	1489
56	H-3	308	118.116380913773	57.5419085513013	Rhizhomorph	ago-08	2023	Naolinco	6	247372	DRamos	Ind_30	911	44260	1320
57	H-4	298	35.2890048533462	9.07067314341743	Rhizhomorph	ago-10	2023	Naolinco	6	330292	DRamos	Ind_31	1771	88361	1199
58	H-5	284	36.1429882862233	12.5310843665418	Rhizhomorph	ago-10	2023	Naolinco	6	315106	DRamos	Ind_32	1060	81837	1045
59	H-6	332	69.9878256485301	19.8440997826118	Rhizhomorph	ago-28	2023	Naolinco	7	367938	DRamos	Ind_33	1301	76494	1563
60	H-7	336	34.584730238954	7.20307621398968	Rhizhomorph	ago-28	2023	Naolinco	7	393038	DRamos	Ind_34	1498	93231	1556
61	H-8	296	25.4349691662462	7.18829275099158	Rhizhomorph	ago-28	2023	Naolinco	7	377596	DRamos	Ind_35	1432	89188	1600
62	H-9	296	32.9303730488798	9.21218255629695	Rhizhomorph	ago-28	2023	Naolinco	7	377710	DRamos	Ind_36	1921	101993	1023
63	SAH-1	345	102.81261367098	30.8787896125727	Soil associated	ago-08	2023	Naolinco	6	386342	DRamos	Ind_28	1797	84100	1932
64	SAH-10	333	67.5822623754993	23.1033143410971	Soil associated	ago-28	2023	Naolinco	7	396842	DRamos	Ind_37	2145	77025	1635
65	SAH-2	335	97.6306993047724	28.9938342321412	Soil associated	ago-08	2023	Naolinco	6	515502	DRamos	Ind_29	1656	89524	1636
66	SAH-3	311	128.642584727384	60.6283168890017	Soil associated	ago-08	2023	Naolinco	6	343144	DRamos	Ind_30	1333	69177	1766
67	SAH-4	320	102.604234249905	48.1731952968105	Soil associated	ago-10	2023	Naolinco	6	421026	DRamos	Ind_31	1738	86587	1528
68	SAH-5	341	68.5672471562592	20.2598004366838	Soil associated	ago-10	2023	Naolinco	6	431592	DRamos	Ind_32	1577	82731	1731
69	SAH-6	342	94.5086817300811	24.5838871560255	Soil associated	ago-28	2023	Naolinco	7	385060	DRamos	Ind_33	1759	72717	1897
70	SAH-7	333	136.160520585293	59.425152463641	Soil associated	ago-28	2023	Naolinco	7	367248	DRamos	Ind_34	1988	63770	1859
71	SAH-8	281	111.683333431618	57.5750061757689	Soil associated	ago-28	2023	Naolinco	7	483236	DRamos	Ind_35	1962	65876	1629
72	SAH-9	332	98.393045922506	26.6386031818311	Soil associated	ago-28	2023	Naolinco	7	364570	DRamos	Ind_36	1909	57446	1719
