Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	Shared
ASV_519	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_519	0	0.129350319714941	0.00837170364169108	0.01834333481827	0	0.0665201295696437	0	0.0696091013900067	0.0752782607137096	0.056550424128181	0.0914175091417509	0	0.0630789150426613	0.058557467086665	0.0394768459716453	0.0745012554841202	Rhizhomorph_Soil associated
ASV_6159	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_6159	0	0.0170840044906526	0	0	0	0.00867653863951874	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4168	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4168	0	0.0195245765607458	0	0	0	0.00867653863951874	0	0.0195775597659394	0	0.00471253534401508	0	0	0.0165997144849109	0	0.00343276921492568	0	Rhizhomorph_Soil associated
ASV_5524	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5524	0	0.0170840044906526	0	0.00786142920782998	0	0.00578435909301249	0	0.0130517065106263	0	0.00628338045868677	0.0161325016132502	0	0	0	0	0.0193151403106978	Rhizhomorph_Soil associated
ASV_5488	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5488	0	0	0	0	0	0	0	0	0	0	0	0.00502192909036124	0.00663988579396434	0	0	0.0110372230346845	Non-core
ASV_4765	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4765	0	0.0244057207009323	0	0	0	0	0	0	0	0	0	0	0.00663988579396434	0	0	0	Non-core
ASV_4824	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_4824	0	0	0	0.01310238201305	0	0	0	0	0	0.00942507068803016	0.0241987524198752	0	0	0	0	0	Rhizhomorph
ASV_5245	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_5245	0	0.0170840044906526	0	0	0	0.0289217954650625	0	0.0174022753475017	0	0	0	0	0	0	0	0	Non-core
ASV_5523	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5523	0	0.0195245765607458	0	0.01572285841566	0	0.00867653863951874	0	0.00435056883687542	0	0.0109959158027019	0.0376425037642504	0	0.00663988579396434	0	0	0	Rhizhomorph_Soil associated
ASV_5638	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587		ASV_5638	0	0.00732171621027969	0	0.01572285841566	0.0561250110773048	0.0144608977325312	0	0.00870113767375084	0	0	0.00537750053775005	0	0.00995982869094652	0	0	0	Soil associated
ASV_5818	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587		ASV_5818	0	0.0122028603504661	0	0	0	0	0	0.00870113767375084	0.00358467908160522	0	0	0	0.0265595431758574	0	0	0.00551861151734224	Soil associated
ASV_4626	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	mle1-8	mle1-8		ASV_4626	0	0.0195245765607458	0	0.00786142920782998	0	0.0173530772790375	0	0.0413304039503165	0	0	0.00537750053775005	0	0.019919657381893	0	0	0.0193151403106978	Soil associated
ASV_1035	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1035	0	0.0439302972616781	0.054416073670992	0.0471685752469799	0	0.0723044886626562	0.062070282658518	0.030453981858128	0.00896169770401305	0.0832547910775998	0.0483975048397505	0	0.0232396002788752	0.0343267910508036	0.0480587690089595	0.0579454209320935	Core
ASV_3851	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_3851	0	0	0	0.00786142920782998	0	0.00578435909301249	0.0549083269671505	0.00870113767375084	0	0.0486961985548225	0.0107550010755001	0	0	0	0.010298307644777	0	Rhizhomorph_Soil associated
ASV_3441	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_3441	0	0.00488114414018646	0.0251151109250733	0.0235842876234899	0	0.0202452568255437	0	0.0174022753475017	0.0179233954080261	0.0141376060320452	0.00537750053775005	0	0	0.0040384460059769	0.00343276921492568	0	Rhizhomorph_Soil associated
ASV_2420	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_soil	ASV_2420	0	0	0	0.01048190561044	0	0.0260296159185562	0.0525210084033613	0.00652585325531313	0.00896169770401305	0.0754005655042413	0.0215100021510002	0	0.0298794860728395	0	0	0	Rhizhomorph_Soil associated
ASV_6043	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_6043	0	0	0.00837170364169108	0.01310238201305	0	0	0	0.0174022753475017	0	0.0345585925227773	0.0134437513443751	0	0	0	0	0	Rhizhomorph
ASV_3897	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_3897	0	0.0244057207009323	0	0.01572285841566	0	0.00578435909301249	0	0.0239281286028148	0	0.0863964813069431	0	0	0	0	0	0	Rhizhomorph_Soil associated
ASV_1371	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetaceae	ASV_1371	0	0.0927417386635427	0	0.0262047640260999	0.062032906980179	0.02313743637205	0	0.030453981858128	0	0.0219918316054037	0.0161325016132502	0	0.0497991434547326	0.0161537840239076	0.0549243074388109	0	Rhizhomorph_Soil associated
ASV_4230	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_4230	0	0.0195245765607458	0	0	0	0.00578435909301249	0	0.0108764220921886	0	0.00785422557335847	0.0188212518821252	0	0.019919657381893	0	0	0	Rhizhomorph_Soil associated
ASV_1218	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_1218	0	0.0463708693317714	0.0418585182084554	0.0786142920782998	0	0.034706154558075	0.0549083269671505	0.0413304039503165	0.0215080744896313	0.0581212692428527	0.0457087545708755	0	0.0531190863517148	0.0302883450448267	0.0240293845044798	0.0331116691040534	Core
ASV_4629	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_4629	0	0.0122028603504661	0	0.01834333481827	0	0.0289217954650625	0	0.00435056883687542	0	0.00942507068803016	0.00537750053775005	0	0.0132797715879287	0.00605766900896535	0.0120146922522399	0.0248337518280401	Rhizhomorph_Soil associated
ASV_5694	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_5694	0	0.0122028603504661	0	0.00786142920782998	0	0	0	0.00435056883687542	0	0.0188501413760603	0.0241987524198752	0	0.0132797715879287	0	0	0	Rhizhomorph_Soil associated
ASV_1560	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		ASV_1560	0	0.0268462927710255	0	0.02096381122088	0.224500044309219	0.0404905136510875	0.00716195569136746	0.0174022753475017	0	0.061262959472196	0.0295762529576253	0	0.0995982869094652	0	0.00514915382238852	0.0110372230346845	Rhizhomorph_Soil associated
