sample-id	q0	q1	q2	sample	Source	Date	Year	Location	Week	Raw reads	Colect_number	Specimen	quant_reading	Effective_reads	ASVs
35	DR1047-H	1317	631.344824914898	278.567311284037	DR1047-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	165194	DRamos 1047	Ind_25	2428	56258	1317
36	DR1047-SAH	1563	625.359838857044	168.692594250335	DR1047-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	177856	DRamos 1047	Ind_25	4550	36573	1563
37	DR1048-E	372	29.3022760450791	11.7346936167872	DR1048-E	Stipe	oct-26	2021	El Castillo/Zentla	5	182892	DRamos 1048	Ind_26	4093	59509	372
38	DR1048-H	726	99.0829169689884	30.701973933858	DR1048-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	170314	DRamos 1048	Ind_26	3649	59669	726
39	DR1048-SAH	1049	384.027703400962	167.217679150257	DR1048-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	212318	DRamos 1048	Ind_26	4373	47993	1049
40	DR1049-E	1274	160.92069407285	19.6858195315271	DR1049-E	Stipe	oct-26	2021	El Castillo/Zentla	5	247528	DRamos 1049	Ind_27	92	65984	1274
41	DR1049-H	1538	600.653718646861	210.245304195397	DR1049-H	Rhizhomorph	oct-26	2021	El Castillo/Zentla	5	230820	DRamos 1049	Ind_27	87	45788	1538
42	DR1049-SAH	1413	667.285426902278	284.919158535162	DR1049-SAH	Soil associated	oct-26	2021	El Castillo/Zentla	5	192100	DRamos 1049	Ind_27	4249	33759	1413
43	E-1	1597	279.227229386766	46.4763160576941	E-1	Stipe	ago-08	2023	Naolinco	6	281262	DRamos	Ind_28	1327	78107	1597
44	E-10	542	9.35868071161112	3.68096875593002	E-10	Stipe	ago-28	2023	Naolinco	7	474660	DRamos	Ind_37	2260	149323	542
45	E-2	782	55.0662460911976	11.6378270074456	E-2	Stipe	ago-08	2023	Naolinco	6	257930	DRamos	Ind_29	984	79089	782
46	E-3	893	141.925034776295	30.4737941621666	E-3	Stipe	ago-08	2023	Naolinco	6	343020	DRamos	Ind_30	592	101633	893
47	E-4	403	15.1447460732108	3.98311582423495	E-4	Stipe	ago-10	2023	Naolinco	6	474632	DRamos	Ind_31	264	173869	403
48	E-5	1003	110.564833451886	33.8734708619827	E-5	Stipe	ago-10	2023	Naolinco	6	276584	DRamos	Ind_32	1127	93701	1003
49	E-6	479	7.02811996891867	3.26301786149357	E-6	Stipe	ago-28	2023	Naolinco	7	289870	DRamos	Ind_33	1772	95704	479
50	E-7	415	12.5577783416264	4.77962755735495	E-7	Stipe	ago-28	2023	Naolinco	7	297668	DRamos	Ind_34	1249	96474	415
51	E-8	1380	211.697464934741	53.2776132721223	E-8	Stipe	ago-28	2023	Naolinco	7	288130	DRamos	Ind_35	1653	76767	1380
52	E-9	926	16.4257546149463	4.60252354403351	E-9	Stipe	ago-28	2023	Naolinco	7	392038	DRamos	Ind_36	1093	114959	926
53	H-1	1882	351.503681938441	54.3932696275795	H-1	Rhizhomorph	ago-08	2023	Naolinco	6	459838	DRamos	Ind_28	1981	102760	1882
54	H-10	472	14.5794581568271	5.9507239748165	H-10	Rhizhomorph	ago-28	2023	Naolinco	7	494312	DRamos	Ind_37	2677	118895	472
55	H-2	1489	250.463365889109	52.9485835456709	H-2	Rhizhomorph	ago-08	2023	Naolinco	6	502928	DRamos	Ind_29	2200	103699	1489
56	H-3	1320	444.833675082454	151.370351727963	H-3	Rhizhomorph	ago-08	2023	Naolinco	6	247372	DRamos	Ind_30	911	44260	1320
57	H-4	1199	124.745021578577	17.3403664842755	H-4	Rhizhomorph	ago-10	2023	Naolinco	6	330292	DRamos	Ind_31	1771	88361	1199
58	H-5	1045	94.6556390162103	20.849351423324	H-5	Rhizhomorph	ago-10	2023	Naolinco	6	315106	DRamos	Ind_32	1060	81837	1045
59	H-6	1563	305.856634809101	48.6670220796179	H-6	Rhizhomorph	ago-28	2023	Naolinco	7	367938	DRamos	Ind_33	1301	76494	1563
60	H-7	1556	145.46263121027	23.7181395646281	H-7	Rhizhomorph	ago-28	2023	Naolinco	7	393038	DRamos	Ind_34	1498	93231	1556
61	H-8	1600	177.480032912633	18.6189398833295	H-8	Rhizhomorph	ago-28	2023	Naolinco	7	377596	DRamos	Ind_35	1432	89188	1600
62	H-9	1023	52.4112097690415	16.5359758435045	H-9	Rhizhomorph	ago-28	2023	Naolinco	7	377710	DRamos	Ind_36	1921	101993	1023
63	SAH-1	1932	516.220144305402	95.8089054473858	SAH-1	Soil associated	ago-08	2023	Naolinco	6	386342	DRamos	Ind_28	1797	84100	1932
64	SAH-10	1635	288.582443449996	54.0112474677323	SAH-10	Soil associated	ago-28	2023	Naolinco	7	396842	DRamos	Ind_37	2145	77025	1635
65	SAH-2	1636	398.115992974128	83.0607950081856	SAH-2	Soil associated	ago-08	2023	Naolinco	6	515502	DRamos	Ind_29	1656	89524	1636
66	SAH-3	1766	668.236422024581	238.121939772401	SAH-3	Soil associated	ago-08	2023	Naolinco	6	343144	DRamos	Ind_30	1333	69177	1766
67	SAH-4	1528	486.264724608477	164.033797426095	SAH-4	Soil associated	ago-10	2023	Naolinco	6	421026	DRamos	Ind_31	1738	86587	1528
68	SAH-5	1731	321.527669759164	53.6855455727165	SAH-5	Soil associated	ago-10	2023	Naolinco	6	431592	DRamos	Ind_32	1577	82731	1731
69	SAH-6	1897	531.867536913579	81.6194510650467	SAH-6	Soil associated	ago-28	2023	Naolinco	7	385060	DRamos	Ind_33	1759	72717	1897
70	SAH-7	1859	747.886370181904	255.500307421197	SAH-7	Soil associated	ago-28	2023	Naolinco	7	367248	DRamos	Ind_34	1988	63770	1859
71	SAH-8	1629	769.539696304698	347.159347888972	SAH-8	Soil associated	ago-28	2023	Naolinco	7	483236	DRamos	Ind_35	1962	65876	1629
72	SAH-9	1719	510.480594083295	90.4685920435498	SAH-9	Soil associated	ago-28	2023	Naolinco	7	364570	DRamos	Ind_36	1909	57446	1719
